"","class_id","wave","num_removed","num_absent","bully1_density","bully1_reciprocity","bully1_rev_density","bully1_rev_reciprocity","sender_psyche_jaccard","target_percep_jaccard","num_present","prop_female","missing_gender"
"1","14100",4,0,17,0.19047619047619,0.3,0.128571428571429,0.153846153846154,0.313725490196078,0.135593220338983,15,0.666666666666667,0
"9","14200",4,0,1,0.0457516339869281,0,0.130718954248366,0,0.102040816326531,0.173913043478261,18,0.555555555555556,0
"17","15100",4,0,0,0.0204301075268817,0,0.0290322580645161,0.0740740740740741,0.0952380952380952,0.0697674418604651,31,0.419354838709677,0
"25","15200",4,0,6,0.0341880341880342,0.166666666666667,0.0769230769230769,0.0754716981132075,0.114285714285714,0.0540540540540541,27,0.407407407407407,0
"33","15300",4,0,2,0.0471264367816092,0.1,0.0528735632183908,0,0.12987012987013,0.115384615384615,30,0.533333333333333,0
"41","16100",4,0,8,0.0494505494505494,0,0.104395604395604,0.105263157894737,0.217391304347826,0,14,0.428571428571429,0
"49","22100",4,11,7,0.0166666666666667,0,0.0483333333333333,0.206896551724138,0.0833333333333333,0.114285714285714,25,0.64,0
"57","23100",4,0,5,0.0490196078431373,0.266666666666667,0.0980392156862745,0,0.184210526315789,0.0714285714285714,18,0.555555555555556,0
"65","31100",4,0,1,0.0808823529411765,0,0.0661764705882353,0.222222222222222,0.176470588235294,0.111111111111111,17,0.470588235294118,0
"73","31200",4,0,2,0.0367647058823529,0,0.0772058823529412,0,0,0.291666666666667,17,0.470588235294118,0
"81","32100",4,0,8,0.0476190476190476,0,0.0714285714285714,0.2,0.219512195121951,0.0416666666666667,21,0.476190476190476,0
"89","33100",4,0,8,0.0615942028985507,0.0588235294117647,0.052536231884058,0.206896551724138,0.166666666666667,0.05,24,0.375,0
"97","34100",4,0,3,0.121323529411765,0.121212121212121,0.154411764705882,0.19047619047619,0.530612244897959,0.136363636363636,17,0.411764705882353,0
"105","35200",4,0,4,0.158333333333333,0.108108108108108,0.179166666666667,0.0930232558139535,0.0945945945945946,0.227272727272727,16,0.3125,0
"113","41100",4,1,7,0.00985221674876847,0,0.0480295566502463,0,0.0444444444444444,0.0217391304347826,29,0.448275862068966,0
"121","41200",4,0,1,0.0241379310344828,0.0952380952380952,0.035632183908046,0.0645161290322581,0.0612244897959184,0.130434782608696,30,0.433333333333333,0
"129","43100",4,0,4,0.154761904761905,0.125,0.135714285714286,0.0357142857142857,0.297872340425532,0.14018691588785,21,0.523809523809524,0
"137","43200",4,2,6,0.0454545454545455,0.0952380952380952,0.0930735930735931,0.13953488372093,0.185185185185185,0.12280701754386,22,0.318181818181818,0
"145","44100",4,3,4,0.0291005291005291,0.0909090909090909,0.0912698412698413,0,0.0833333333333333,0.0459770114942529,28,0.642857142857143,0
"153","44200",4,8,11,0.0566666666666667,0.0606060606060606,0.0583333333333333,0.0588235294117647,0.189655172413793,0.078125,25,0.44,0
"161","46100",4,0,7,0.0238095238095238,0,0.0952380952380952,0,0,0.0869565217391304,15,0.266666666666667,0
"169","46200",4,0,3,0.0845588235294118,0,0.0919117647058824,0.16,0.230769230769231,0.0666666666666667,17,0.529411764705882,0
"177","51100",4,0,4,0.143790849673203,0.0465116279069767,0.130718954248366,0,0.555555555555556,0.024390243902439,18,0.5,0
"185","52100",4,0,5,0.0476190476190476,0.1,0.104761904761905,0.136363636363636,0.185185185185185,0.0847457627118644,21,0.476190476190476,0
"193","54100",4,1,2,0.0625,0,0.0698529411764706,0.210526315789474,0.384615384615385,0.0285714285714286,17,0.588235294117647,0
"201","55100",4,0,12,0.207894736842105,0.278481012658228,0.0868421052631579,0,0.204301075268817,0.108910891089109,20,0.45,0
"209","55200",4,1,8,0.114285714285714,0,0.226190476190476,0.340425531914894,0.181818181818182,0.1,21,0.571428571428571,0
"217","57100",4,1,3,0.0857142857142857,0,0.0714285714285714,0,0.137931034482759,0.03125,15,0.4,0
"225","57200",4,0,2,0.0847953216374269,0.0689655172413793,0.140350877192982,0.208333333333333,0.283333333333333,0.115942028985507,19,0.473684210526316,0
"233","61100",4,10,8,0.0714285714285714,0,0.0666666666666667,0,0.0175438596491228,0.115384615384615,21,0.476190476190476,0
"241","62100",4,1,4,0.0904761904761905,0,0.10952380952381,0,0.05,0.105263157894737,15,0.533333333333333,0
"249","63100",4,0,5,0.0632411067193676,0.25,0.122529644268775,0.0967741935483871,0.253333333333333,0.146341463414634,23,0.652173913043478,0
"257","66100",4,0,3,0.183333333333333,0.454545454545455,0.275,0.4,0.358024691358025,0.264367816091954,16,0.4375,0
"265","67100",4,0,2,0.0233918128654971,0,0.111111111111111,0,0.0454545454545455,0,19,0.526315789473684,0
