idcode,wave,member,present,classsize,gender,ses,class,roma,indeg_friendship,indeg_recfriendship,indeg_positive,indeg_recpositive,indeg_negative,indeg_recnegative,indeg_bully,indeg_bully_verbal,indeg_bully_physical,indeg_bully_cyber,indeg_gossip,outdeg_friendship,outdeg_positive,outdeg_negative,outdeg_bully,outdeg_bully_verbal,outdeg_bully_physical,outdeg_bully_cyber,outdeg_gossip,wellbeing_mean,wellbeing_i1,wellbeing_i2,wellbeing_i3,wellbeing_i4,wellbeing_i5,wellbeing_i6
12101,1,1,20,20,2,1,12100,0,.57894737,.2631579,.63157892,.57894737,.10526316,0,0,0,0,0,0,.2631579,.68421054,.052631579,.15789475,.15789475,0,0,0,4.666666,5,4,5,5,4,5
12101,2,1,20,20,2,1,12100,0,.2631579,.052631579,.57894737,.36842105,.10526316,0,.052631579,.052631579,0,0,0,.052631579,.57894737,.15789475,.21052632,.21052632,0,0,0,4,4,5,4,4,4,3
12101,3,1,20,20,2,1,12100,0,.2631579,.10526316,.47368422,.42105263,.052631579,0,0,0,0,0,0,.10526316,.63157892,.052631579,0,0,0,0,0,4,3,4,4,5,4,4
12101,4,1,20,20,2,1,12100,0,.2631579,.052631579,.42105263,.052631579,.052631579,0,.2631579,.10526316,.052631579,.052631579,.21052632,.052631579,.10526316,0,.052631579,0,0,0,.052631579,2.833333,1,3,3,4,3,3
12102,1,1,20,20,2,0,12100,0,.36842105,.10526316,.42105263,.10526316,.15789475,0,.10526316,0,0,0,.10526316,.10526316,.10526316,.42105263,.84210527,.052631579,0,0,.84210527,5,5,5,5,5,5,5
12102,2,1,20,20,2,0,12100,0,.21052632,.15789475,.57894737,.2631579,.052631579,.052631579,.10526316,.10526316,.052631579,0,0,.2631579,.31578946,.47368422,.84210527,.84210527,0,.052631579,0,2.333333,1,1,1,5,1,5
12102,3,1,20,20,2,0,12100,0,.36842105,.15789475,.52631581,.21052632,0,0,0,0,0,0,0,.21052632,.21052632,.63157892,.052631579,0,0,0,.052631579,4,1,3,5,5,5,5
12102,4,1,20,20,2,0,12100,0,.36842105,.21052632,.47368422,.42105263,.052631579,0,.15789475,.10526316,.052631579,.052631579,.10526316,.42105263,.63157892,0,.78947365,0,0,0,.78947365,4.333334,3,3,5,5,5,5
12103,1,1,20,20,2,0,12100,1,.10526316,.10526316,.31578946,.21052632,.21052632,0,.21052632,.10526316,0,0,.15789475,.31578946,.52631581,.052631579,0,0,0,0,0,4.833334,5,5,5,4,5,5
12103,2,1,20,20,2,0,12100,1,.15789475,.15789475,.47368422,.36842105,.052631579,0,.21052632,.21052632,0,0,0,.2631579,.47368422,.052631579,.052631579,.052631579,0,0,0,4.5,4,4,5,5,5,4
12104,1,1,20,20,1,0,12100,0,.31578946,.10526316,.36842105,.21052632,.36842105,.36842105,.31578946,.21052632,.21052632,0,.10526316,.15789475,.2631579,.63157892,.2631579,0,.2631579,0,0,2.333333,1,1,3,2,3,4
12104,2,1,20,20,1,0,12100,0,.10526316,.10526316,.31578946,.21052632,.052631579,.052631579,.21052632,.10526316,.052631579,.10526316,0,.15789475,.2631579,.47368422,.52631581,.10526316,.47368422,.15789475,0,2.833333,1,1,4,3,4,4
12104,3,1,20,20,1,0,12100,0,.15789475,.10526316,.2631579,.15789475,.21052632,.052631579,.10526316,.052631579,.052631579,0,.052631579,.10526316,.2631579,.31578946,.52631581,.47368422,.15789475,0,0,3,1,3,4,3,4,3
12104,4,1,20,20,1,0,12100,0,.15789475,0,.21052632,.15789475,.21052632,.21052632,.21052632,.10526316,.10526316,.052631579,.15789475,0,.15789475,.47368422,.10526316,.10526316,.10526316,0,0,2,1,1,3,3,1,3
12105,1,1,20,20,2,0,12100,0,.15789475,.10526316,.2631579,.10526316,.2631579,.15789475,.2631579,0,0,.052631579,.21052632,.31578946,.31578946,.2631579,.15789475,0,0,0,.15789475,5,5,5,5,5,5,5
12105,2,1,20,20,2,0,12100,0,.15789475,.10526316,.57894737,.42105263,.21052632,0,.47368422,.47368422,.052631579,0,0,.47368422,.52631581,.052631579,.15789475,.15789475,.052631579,0,0,4.5,4,3,5,5,5,5
12105,3,1,20,20,2,0,12100,0,.21052632,.15789475,.47368422,.2631579,.21052632,0,.21052632,.052631579,0,0,.15789475,.2631579,.2631579,.10526316,.2631579,.052631579,0,0,.2631579,4,4,4,4,4,4,4
12105,4,1,20,20,2,0,12100,0,.10526316,.10526316,.36842105,.2631579,.10526316,.052631579,.42105263,.10526316,.052631579,.052631579,.31578946,.31578946,.36842105,.21052632,.15789475,.15789475,0,0,.15789475,4.333334,4,5,5,4,5,3
12106,1,1,20,20,1,1,12100,1,.21052632,.15789475,.21052632,.15789475,.21052632,.21052632,.10526316,0,.052631579,0,.052631579,.2631579,.2631579,.63157892,0,0,0,0,0,2.5,3,2,3,2,2,3
12106,2,1,20,20,1,1,12100,1,.21052632,.15789475,.2631579,.21052632,.2631579,0,.15789475,.052631579,.10526316,.052631579,0,.15789475,.52631581,.052631579,.15789475,.10526316,0,.052631579,0,3.833333,3,4,3,3,5,5
12106,3,1,20,20,1,1,12100,1,.21052632,.21052632,.2631579,.2631579,.2631579,0,.10526316,.052631579,.052631579,0,.052631579,.21052632,.36842105,0,0,0,0,0,0,4.333334,3,4,5,4,5,5
12106,4,1,20,20,1,1,12100,1,.15789475,.15789475,.21052632,.21052632,.2631579,0,.21052632,.10526316,.052631579,.052631579,.15789475,.36842105,.36842105,0,0,0,0,0,0,4.166666,2,4,5,5,5,4
12107,1,1,20,20,2,0,12100,0,.57894737,.47368422,.68421054,.52631581,.10526316,0,.052631579,0,0,0,.052631579,.57894737,.57894737,0,.10526316,0,.10526316,0,0,3,3,3,3,3,3,3
12108,1,1,20,20,2,0,12100,1,.36842105,.10526316,.57894737,.42105263,.21052632,.21052632,.15789475,.052631579,0,.052631579,.10526316,.10526316,.47368422,.42105263,0,0,0,0,0,5,5,5,5,5,5,5
12108,2,1,20,20,2,0,12100,1,.47368422,.21052632,.7368421,.57894737,.052631579,0,.15789475,.10526316,.052631579,0,0,.21052632,.57894737,.052631579,.10526316,.052631579,.052631579,0,0,4.833334,4,5,5,5,5,5
12108,3,1,20,20,2,0,12100,1,.15789475,.10526316,.52631581,.36842105,.10526316,0,.052631579,0,0,0,.052631579,.15789475,.47368422,.10526316,.10526316,0,.052631579,0,.10526316,3.5,3,4,4,1,4,5
12108,4,1,20,20,2,0,12100,1,.2631579,.10526316,.42105263,.2631579,.15789475,.10526316,.31578946,.15789475,.052631579,.052631579,.2631579,.15789475,.36842105,.31578946,.10526316,0,0,0,.10526316,3.833333,5,4,4,2,4,4
12109,1,1,20,20,1,1,12100,0,.31578946,0,.31578946,0,.42105263,0,.2631579,.15789475,.15789475,0,.10526316,0,0,0,0,0,0,0,0,3.666667,4,3,2,5,4,4
12109,2,1,20,20,1,1,12100,0,.10526316,0,.2631579,0,.2631579,0,.47368422,.2631579,.2631579,.10526316,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
12109,3,1,20,20,1,1,12100,0,.21052632,0,.36842105,0,.21052632,0,.15789475,.15789475,.10526316,.052631579,.052631579,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
12109,4,1,20,20,1,1,12100,0,.31578946,0,.31578946,0,.2631579,0,.2631579,.15789475,.15789475,.052631579,.15789475,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
