label;"BMA";"BML";"BMI";"BMJ";"BMW";"BMT";"BAM";"BAU";"BGA";"BBA";"UBA";"SRU";"SPD";"CDU";"FDP";"AGV";"BUND";"BBU";"IHT";"IGC";"VCI";"VDB";"VAA";"BGC";"DFG";"GSF";"GDC";"EC";"OECD";"CEF"
"BMA";1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"BML";1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"BMI";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"BMJ";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"BMW";1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"BMT";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"BAM";1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
"BAU";1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1
"BGA";1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"BBA";1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
"UBA";1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
"SRU";1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
"SPD";1;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"CDU";1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0
"FDP";1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"AGV";0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"BUND";0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
"BBU";1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"IHT";1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1
"IGC";0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0
"VCI";1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
"VDB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
"VAA";1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
"BGC";1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"DFG";1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
"GSF";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
"GDC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EC";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"OECD";1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1
"CEF";1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
