label;"Selfregulation";"Bigsolution";"Notification";"Premanufacturing";"Newsubstances";"Levelplan"
"BMA";0;1;1;1;1;1
"BML";-1;1;0;1;1;1
"BMI";-1;-1;1;1;1;1
"BMJ";0;1;1;1;1;1
"BMW";0;1;1;1;1;1
"BMT";0;-1;1;1;1;1
"BAM";0;0;0;0;0;0
"BAU";-1;1;-1;-1;1;1
"BGA";-1;1;-1;-1;-1;1
"BBA";0;1;0;1;1;1
"UBA";-1;1;1;1;1;1
"SRU";0;-1;-1;-1;-1;-1
"SPD";0;0;1;1;1;1
"CDU";0;0;1;1;1;1
"FDP";-1;0;1;1;-1;1
"AGV";0;0;0;0;-1;-1
"BUND";0;0;-1;-1;-1;-1
"BBU";0;0;-1;-1;-1;-1
"IHT";0;0;1;0;1;1
"IGC";0;1;-1;-1;-1;1
"VCI";-1;1;1;1;1;1
"VDB";0;1;1;1;-1;-1
"VAA";0;0;1;1;1;1
"BGC";0;0;0;0;0;0
"DFG";-1;-1;-1;-1;-1;-1
"GSF";0;0;1;1;1;1
"GDC";0;0;0;0;0;0
"EC";-1;1;1;1;1;1
"OECD";-1;1;0;1;1;1
"CEF";1;1;1;1;1;1
