label;"BMA";"BML";"BMI";"BMJ";"BMW";"BMT";"BAM";"BAU";"BGA";"BBA";"UBA";"SRU";"SPD";"CDU";"FDP";"AGV";"BUND";"BBU";"IHT";"IGC";"VCI";"VDB";"VAA";"BGC";"DFG";"GSF";"GDC";"EC";"OECD";"CEF"
"BMA";0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1
"BML";1;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BMI";1;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
"BMJ";1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0
"BMW";1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
"BMT";1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0
"BAM";1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"BAU";1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0
"BGA";1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0
"BBA";1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1
"UBA";1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1
"SRU";1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SPD";1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CDU";1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0
"FDP";1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
"AGV";1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
"BUND";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"BBU";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"IHT";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"IGC";1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0
"VCI";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"VDB";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"VAA";1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"BGC";1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1
"DFG";1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1
"GSF";0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1
"GDC";0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0
"EC";0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"OECD";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"CEF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
