label;"BMA";"BML";"BMI";"BMJ";"BMW";"BMT";"BAM";"BAU";"BGA";"BBA";"UBA";"SRU";"SPD";"CDU";"FDP";"AGV";"BUND";"BBU";"IHT";"IGC";"VCI";"VDB";"VAA";"BGC";"DFG";"GSF";"GDC";"EC";"OECD";"CEF"
"BMA";0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1
"BML";0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BMI";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BMJ";0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0
"BMW";0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
"BMT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"BAM";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1
"BAU";1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0
"BGA";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0
"BBA";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
"UBA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"SRU";0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SPD";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CDU";1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FDP";1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AGV";1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
"BUND";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BBU";0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0
"IHT";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"IGC";1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;0
"VCI";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1
"VDB";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"VAA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"BGC";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
"DFG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"GSF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"GDC";0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1
"EC";0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"OECD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CEF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
